name,TUITIONFEE_IN,TUITIONFEE_OUT,ADM_RATE_ALL,SAT_AVG_ALL
Arkansas Beauty College,NULL,NULL,NULL,NULL
Lyon College,27340,27340,0.641818182,1202
Arkansas College of Barbering and Hair Design,NULL,NULL,NULL,NULL
Arthur's Beauty College Inc-Fort Smith,NULL,NULL,NULL,NULL
University of Arkansas,9062,24308,0.659636196,1239
University of Arkansas at Pine Bluff,7408,13738,0.466879126,951
Arkansas State University-Beebe,3570,5730,NULL,NULL
Arkansas State University-Main Campus,8478,14778,0.660214675,1165
Arkansas Tech University,7104,12528,0.947463044,NULL
University of Arkansas at Monticello,7462,13312,NULL,NULL
Arthur's Beauty College Inc-Jacksonville,NULL,NULL,NULL,NULL
Baptist Health College Little Rock,9867,9867,0.6875,1125
Black River Technical College,3120,5448,NULL,NULL
University of Central Arkansas,8524,15047,0.899477807,1175
Central Baptist College,15750,15750,0.675461741,1027
Cossatot Community College of the University of Arkansas,3210,4080,NULL,NULL
Crowley's Ridge College,12250,12250,NULL,NULL
Crowley's Ridge Technical Institute,1350,1350,NULL,NULL
East Arkansas Community College,2850,3660,NULL,NULL
Eastern College of Health Vocations-Little Rock,NULL,NULL,NULL,NULL
Imagine-Paul Mitchell Partner School,NULL,NULL,NULL,NULL
National Park College,3450,4950,NULL,NULL
University of Arkansas Community College-Batesville,2466,4218,NULL,NULL
Harding University,19385,19385,0.72120613,1203
Henderson State University,8530,10180,0.796789185,1102
Hendrix College,44070,44070,0.797952218,1295
Hot Springs Beauty College,NULL,NULL,NULL,NULL
Jefferson Regional Medical Center School of Nursing,NULL,NULL,NULL,NULL
John Brown University,26144,26144,0.757929883,1256
Career Academy of Hair Design,NULL,NULL,NULL,NULL
Academy of Salon and Spa,NULL,NULL,NULL,NULL
Arkansas State University Mid-South,2674,4114,NULL,NULL
Arkansas Northeastern College,2290,3970,NULL,NULL
New Tyler Barber College Inc,NULL,NULL,NULL,NULL
North Arkansas College,2208,4560,NULL,NULL
Northwest Technical Institute,2321,2321,NULL,NULL
Ouachita Baptist University,25870,25870,0.709406495,1186
College of the Ouachitas,3680,6530,NULL,NULL
Ozarka College,2932,5284,NULL,NULL
University of the Ozarks,23750,23750,0.891457286,1047
University of Arkansas Community College-Morrilton,3092,4004,0.750560119,NULL
Philander Smith College,12714,12714,NULL,NULL
Phillips Community College of the University of Arkansas,2810,4610,NULL,NULL
Southeast Arkansas College,3460,6280,NULL,NULL
Professional Cosmetology Education Center,NULL,NULL,NULL,NULL
University of Arkansas-Pulaski Technical College,5170,6340,NULL,NULL
University of Arkansas Community College-Hope,2740,5260,NULL,NULL
University of Arkansas Community College Rich Mountain,2688,5640,NULL,NULL
Paul Mitchell the School-Arkansas,NULL,NULL,NULL,NULL
Searcy Beauty College,NULL,NULL,NULL,NULL
Shorter College,4904,4904,NULL,NULL
Williams Baptist University,17320,17320,0.62406015,1030
South Arkansas Community College,2628,4764,NULL,NULL
Southern Arkansas University Main Campus,8346,12156,0.694506104,1102
Southern Arkansas University Tech,4810,6250,NULL,NULL
Velvatex College of Beauty Culture,NULL,NULL,NULL,NULL
University of Arkansas-Fort Smith,5577,12650,NULL,NULL
Academy of Art University,21252,21252,NULL,NULL
Academy of Chinese Culture and Health Sciences,NULL,NULL,NULL,NULL
The Academy of Radio and TV Broadcasting,NULL,NULL,NULL,NULL
Avalon School of Cosmetology-Alameda,NULL,NULL,NULL,NULL
College of Alameda,1230,7110,NULL,NULL
Allan Hancock College,1352,6784,NULL,NULL
American Academy of Dramatic Arts-Los Angeles,34170,34170,0.788372093,NULL
American Baptist Seminary of the West,NULL,NULL,NULL,NULL
American Film Institute Conservatory,NULL,NULL,NULL,NULL
American Beauty College,NULL,NULL,NULL,NULL
American Career College-Los Angeles,NULL,NULL,NULL,NULL
American Conservatory Theater,28705,28705,NULL,NULL
American River College,1104,8208,NULL,NULL
Antelope Valley College,1124,6500,NULL,NULL
Art Center College of Design,42008,42008,0.703567036,NULL
Associated Technical College-Los Angeles,NULL,NULL,NULL,NULL
Associated Technical College-San Diego,NULL,NULL,NULL,NULL
Azusa Pacific University,37506,37506,0.601185815,1131
Bakersfield College,1325,7261,NULL,NULL
Barstow Community College,1104,6720,NULL,NULL
Bellus Academy-Chula Vista,NULL,NULL,NULL,NULL
Bethesda University,7898,7898,NULL,NULL
Biola University,38448,38448,0.719816607,1186
Brownson Technical School,NULL,NULL,NULL,NULL
Bryan University,13975,13975,NULL,NULL
Butte College,1368,6984,NULL,NULL
