name,TUITIONFEE_IN,TUITIONFEE_OUT,ADM_RATE_ALL,SAT_AVG_ALL
Lexington Theological Seminary,NULL,NULL,NULL,NULL
Lindsey Wilson College,24246,24246,NULL,NULL
Sullivan College of Technology and Design,22919,22919,0.762711864,NULL
University of Louisville,11264,26286,0.752980795,1211
Louisville Presbyterian Theological Seminary,NULL,NULL,NULL,NULL
Madisonville Community College,4080,13800,NULL,NULL
Maysville Community and Technical College,4080,13800,NULL,NULL
Midway University,23950,23950,0.567024129,1050
Morehead State University,8950,13426,0.796179525,1144
Murray State University,8820,23820,0.866666667,1173
Gateway Community and Technical College,4160,13880,NULL,NULL
Northern Kentucky University,9744,19104,0.903793575,1142
Daymar College-Owensboro,15000,15000,NULL,NULL
West Kentucky Community and Technical College,4080,13800,NULL,NULL
University of Pikeville,20338,20338,1,1038
Big Sandy Community and Technical College,4080,13800,NULL,NULL
Empire Beauty School-Chenoweth,NULL,NULL,NULL,NULL
Empire Beauty School-Elizabethtown,NULL,NULL,NULL,NULL
Empire Beauty School-Dixie,NULL,NULL,NULL,NULL
Empire Beauty School-Florence,NULL,NULL,NULL,NULL
Somerset Community College,4080,13800,NULL,NULL
Southeast Kentucky Community and Technical College,4080,13800,NULL,NULL
The Southern Baptist Theological Seminary,18860,18860,0.781132075,1105
Spalding University,24000,24000,0.58993576,1046
Spencerian College-Louisville,20400,20400,NULL,NULL
Sullivan University,25950,25950,NULL,NULL
Thomas More College,30270,30270,0.912251656,1081
Transylvania University,37290,37290,0.954690491,NULL
Trend Setters' Academy of Beauty Culture-Louisville,NULL,NULL,NULL,NULL
Union College,26080,26080,0.634716981,1025
Western Kentucky University,10202,25512,0.954508364,1136
Central Louisiana Technical Community College,4089,8198,NULL,NULL
Ayers Career College,NULL,NULL,NULL,NULL
Baton Rouge General Medical Center-School of Nursing,NULL,NULL,NULL,NULL
Baton Rouge School of Computers,NULL,NULL,NULL,NULL
Bossier Parish Community College,4079,8589,NULL,NULL
Cameron College,NULL,NULL,NULL,NULL
Centenary College of Louisiana,35900,35900,0.617924528,1193
Cloyd's Beauty School 1 Inc,NULL,NULL,NULL,NULL
Crescent City Bartending School,NULL,NULL,NULL,NULL
D'Jay's Institute of Cosmetology and Esthiology,NULL,NULL,NULL,NULL
Delgado Community College,4079,8368,NULL,NULL
Delta School of Business and Technology,9685,9685,NULL,NULL
Avery James School of Cosmetology,NULL,NULL,NULL,NULL
Denham Springs Beauty School,NULL,NULL,NULL,NULL
Dillard University,17917,17917,0.40806827,1009
Nunez Community College,4175,7674,NULL,NULL
Grambling State University,7435,16733,0.427682522,NULL
Guy's Shreveport Academy of Cosmetology Inc,NULL,NULL,NULL,NULL
ITI Technical College,10575,10575,NULL,NULL
John Jay Beauty College,NULL,NULL,NULL,NULL
John Jay Beauty College,NULL,NULL,NULL,NULL
Louisiana State University Health Sciences Center-New Orleans,NULL,NULL,NULL,NULL
Louisiana State University-Alexandria,6668,14024,0.310666046,1026
Louisiana State University and Agricultural & Mechanical College,11374,28051,0.739152287,1226
Louisiana State University-Eunice,4392,7260,NULL,NULL
Louisiana State University-Shreveport,7166,20320,0.838383838,1080
Aveda Institute-Baton Rouge,NULL,NULL,NULL,NULL
Aveda Institute-Lafayette,NULL,NULL,NULL,NULL
Louisiana Academy of Beauty,NULL,NULL,NULL,NULL
Louisiana College,16000,16000,0.719230769,1087
Opelousas School of Cosmetology,NULL,NULL,NULL,NULL
Louisiana Tech University,9645,18558,0.64844649,1195
Loyola University New Orleans,39492,39492,0.691118936,1203
McNeese State University,7920,15958,0.622424242,1124
University of New Orleans,8484,13320,0.56611349,1126
New Orleans Baptist Theological Seminary,8040,8040,NULL,NULL
Nicholls State University,7886,8979,0.937378452,1104
University of Louisiana at Monroe,8470,20570,0.75464684,1124
Northwest Louisiana Technical College,2976,7481,NULL,NULL
Notre Dame Seminary Graduate School of Theology,NULL,NULL,NULL,NULL
Northwestern State University of Louisiana,7921,18710,0.802903153,1083
University of Holy Cross,13220,13220,0.461451247,1030
Franciscan Missionaries of Our Lady University,12764,12764,0.484375,1085
Pat Goins Benton Road Beauty School,NULL,NULL,NULL,NULL
Celebrity Stylist Beauty School,NULL,NULL,NULL,NULL
Pat Goins Ruston Beauty School,NULL,NULL,NULL,NULL
Pineville Beauty School,NULL,NULL,NULL,NULL
Aveda Institute-Covington,NULL,NULL,NULL,NULL
Saint Joseph Seminary College,17868,17868,NULL,NULL
Vanguard College of Cosmetology-Slidell,NULL,NULL,NULL,NULL
South Louisiana Beauty College,NULL,NULL,NULL,NULL
Fletcher Technical Community College,3966,7489,NULL,NULL
Remington College-Lafayette Campus,16694,16694,NULL,NULL
SOWELA Technical Community College,4185,7612,NULL,NULL
Stevensons Academy of Hair Design,NULL,NULL,NULL,NULL
Southeastern Louisiana University,8153,20631,0.883396989,1085
Southern University and A & M College,8666,18080,0.454682495,988
Southern University at New Orleans,6421,15322,0.246666667,890
Southern University at Shreveport,4184,7432,NULL,NULL
University of Louisiana at Lafayette,9888,23616,0.508719816,1162
Northshore Technical Community College,4103,7612,NULL,NULL
Tulane University of Louisiana,52960,52960,0.214951435,1442
Xavier University of Louisiana,23606,23606,0.640753664,1126
South Central Louisiana Technical College,2946,4178,NULL,NULL
Purdue University Global-Lewiston,12475,12475,NULL,NULL
College of the Atlantic,43542,43542,0.679324895,NULL
Bates College,52042,52042,0.219337848,NULL
Beal College,NULL,NULL,NULL,NULL
Bowdoin College,51848,51848,0.136257068,NULL
Maine College of Health Professions,11506,11506,0.818181818,920
Central Maine Community College,3660,6420,NULL,NULL
Colby College,53120,53120,0.157908847,1444
Eastern Maine Community College,3747,6507,NULL,NULL
Kennebec Valley Community College,3757,6517,NULL,NULL
The Landing School,22775,22775,NULL,NULL
University of Maine at Augusta,7808,17498,NULL,NULL
University of Maine at Farmington,9458,19026,0.825683342,NULL
University of Maine at Fort Kent,7965,12075,0.972027972,996
University of Maine at Machias,7680,19320,NULL,NULL
University of Maine,10902,30282,0.922606001,1157
Maine Maritime Academy,13278,26628,0.796052632,1083
University of Maine at Presque Isle,7885,11995,0.954353933,NULL
University of New England,36530,36530,0.807352074,1128
Northern Maine Community College,3681,6441,NULL,NULL
Empire Beauty School-Maine,NULL,NULL,NULL,NULL
Maine College of Art,34050,34050,0.677419355,NULL
Saint Joseph's College of Maine,34610,34610,0.801055011,NULL
Spa Tech Institute-Westbrook,NULL,NULL,NULL,NULL
Southern Maine Community College,3710,6470,NULL,NULL
University of Southern Maine,8638,20594,0.834754552,1059
Thomas College,26110,26110,NULL,NULL
Unity College,28350,28350,0.887431694,NULL
Washington County Community College,3636,7272,NULL,NULL
Aesthetics Institute of Cosmetology,NULL,NULL,NULL,NULL
Allegany College of Maryland,3940,8620,NULL,NULL
Anne Arundel Community College,4646,12566,NULL,NULL
Brightwood College-Towson,NULL,NULL,NULL,NULL
Award Beauty School,NULL,NULL,NULL,NULL
Baltimore Studio of Hair Design,NULL,NULL,NULL,NULL
Baltimore City Community College,3074,7154,NULL,NULL
University of Baltimore,8824,20704,0.809859155,999
Bowie State University,8064,18653,0.360022189,950
Capitol Technology University,24788,24788,0.747282609,1062
Cecil College,4005,8265,NULL,NULL
College of Southern Maryland,3690,8266,NULL,NULL
Chesapeake College,3818,7328,NULL,NULL
Washington Adventist University,23400,23400,0.613941019,957
Coppin State University,7474,13622,0.36511064,930
Delmarva Beauty Academy,NULL,NULL,NULL,NULL
North American Trade Schools,NULL,NULL,NULL,NULL
Frederick Community College,3520,9160,NULL,NULL
Frostburg State University,8914,22262,0.722933644,1017
Garrett College,3948,8568,NULL,NULL
Goucher College,43440,43440,0.788428325,NULL
Purdue University Global-Hagerstown,14263,14263,NULL,NULL
Hagerstown Community College,3616,6918,NULL,NULL
Harford Community College,3643,7902,NULL,NULL
Hood College,37960,37960,0.811320755,NULL
Howard Community College,3888,6960,NULL,NULL
Aveda Institute-Maryland,NULL,NULL,NULL,NULL
Johns Hopkins University,52170,52170,0.125386655,1524
Lincoln College of Technology-Columbia,NULL,NULL,NULL,NULL
Loyola University Maryland,47560,47560,0.752844828,NULL
University of Maryland-University College,7296,12336,NULL,NULL
University of Maryland Baltimore,NULL,NULL,NULL,NULL
University of Maryland-Baltimore County,11518,25654,0.602089099,1255
University of Maryland-College Park,10399,33606,0.44502093,1396
Maryland Institute College of Art,46990,46990,0.616061606,1203
University of Maryland Eastern Shore,8042,18048,0.390060049,950
Fortis Institute-Towson,NULL,NULL,NULL,NULL
Montgomery Beauty School,NULL,NULL,NULL,NULL
Montgomery College,4974,13110,NULL,NULL
Morgan State University,7766,17832,0.637229198,977
Mount St. Mary's University,40550,40550,0.642251223,1085
Ner Israel Rabbinical College,11900,11900,0.641791045,NULL
Hair Academy Inc-New Carrollton,NULL,NULL,NULL,NULL
Notre Dame of Maryland University,36070,36070,0.71396648,993
Prince George's Community College,3770,8498,NULL,NULL
Brightwood College-Baltimore,NULL,NULL,NULL,NULL
Robert Paul Academy of Cosmetology Arts & Sciences,NULL,NULL,NULL,NULL
Maryland Beauty Academy of Essex,NULL,NULL,NULL,NULL
Salisbury University,9582,18622,0.65022641,NULL
St. Mary's College of Maryland,14496,29948,0.824169184,1190
St. John's College,51795,51795,0.544488712,1365
Brightwood College-Beltsville,NULL,NULL,NULL,NULL
Towson University,9694,22140,0.773044638,1136
Maryland University of Integrative Health,NULL,NULL,NULL,NULL
United States Naval Academy,0,0,0.084422357,1260
Stevenson University,35490,35490,0.608711368,1097
Washington College,44820,44820,0.476155938,NULL
McDaniel College,41800,41800,0.850035537,1161
Wor-Wic Community College,3000,7536,NULL,NULL
Hult International Business School,38850,38850,0.549371634,NULL
New England College of Business and Finance,12040,12040,NULL,NULL
American International College,34470,34470,0.718309859,997
Amherst College,54310,54310,0.12902531,1497
Andover Newton Theological School,NULL,NULL,NULL,NULL
Anna Maria College,37130,37130,0.791766395,NULL
Assabet Valley Regional Technical School,NULL,NULL,0.263157895,NULL
Assumption College,39598,39598,0.789929015,NULL
Babson College,49664,49664,0.241786015,1347
Bancroft School of Massage Therapy,NULL,NULL,0.571428571,NULL
Boston Baptist College,12600,12600,0.730769231,970
Bay Path University,33557,33557,0.628571429,1086
Bay State College,22320,22320,0.441935484,NULL
Bay State School of Technology,NULL,NULL,NULL,NULL
Becker College,38250,38250,0.694086887,1078
Bentley University,48000,48000,0.441524755,1319
Berklee College of Music,42750,42750,0.525233044,NULL
Berkshire Community College,5212,10828,NULL,NULL
Empire Beauty School-Boston,NULL,NULL,NULL,NULL
Boston Architectural College,21174,21174,NULL,NULL
Boston Graduate School of Psychoanalysis Inc,NULL,NULL,NULL,NULL
Boston College,53346,53346,0.324137204,1434
Boston University,52082,52082,0.251097411,1401
Brandeis University,53537,53537,0.342206296,1403
Bridgewater State University,10012,16152,0.803562983,1070
Bristol Community College,4656,9600,NULL,NULL
Signature Healthcare Brockton Hospital School of Nursing,NULL,NULL,0.75,NULL
Bunker Hill Community College,4224,9168,NULL,NULL
Cambridge College,14940,14940,NULL,NULL
Cape Cod Community College,4536,9480,NULL,NULL
Catherine Hinds Institute of Esthetics,NULL,NULL,NULL,NULL
Laboure College,36103,36103,0.784313725,NULL
Clark University,44400,44400,0.562657092,NULL
Conway School of Landscape Design,NULL,NULL,NULL,NULL
Curry College,38936,38936,0.900495811,1018
Lincoln Technical Institute-Somerville,NULL,NULL,NULL,NULL
Dean College,38090,38090,0.8606866,1002
Diman Regional Technical Institute,NULL,NULL,1,NULL
National Aviation Academy of New England,NULL,NULL,NULL,NULL
Eastern Nazarene College,31780,31780,0.67761452,1049
Emerson College,44832,44832,0.460617761,1299
Emmanuel College,38844,38844,0.72992456,1183
Endicott College,32154,32154,0.813966326,NULL
Rob Roy Academy-Fall River,NULL,NULL,NULL,NULL
Fisher College,30499,30499,0.658309456,NULL
Fitchburg State University,10155,16235,0.800443459,1056
Framingham State University,9920,16000,0.681073025,1043
Benjamin Franklin Institute of Technology,17450,17450,NULL,NULL
Gordon College,36740,36740,0.888850889,1189
Gordon-Conwell Theological Seminary,NULL,NULL,NULL,NULL
Greenfield Community College,5450,11570,NULL,NULL
Hampshire College,51608,51608,0.628199566,NULL
Harvard University,48949,48949,0.051561788,1523
Hebrew College,NULL,NULL,NULL,NULL
Hellenic College-Holy Cross Greek Orthodox School of Theology,22490,22490,1,1142
College of the Holy Cross,50630,50630,0.395952884,NULL
Holyoke Community College,4662,9606,NULL,NULL
Lasell College,34600,34600,0.807160981,1069
Lawrence Memorial Hospital School of Nursing,27655,27655,NULL,NULL
Lesley University,26675,26675,0.726066351,1123
Longy School of Music of Bard College,40780,40780,0.585262734,NULL
Lowell Academy Hairstyling Institute,NULL,NULL,NULL,NULL
University of Massachusetts-Lowell,14800,31865,0.688310527,1227
Mansfield Beauty Schools-Springfield,NULL,NULL,NULL,NULL
Mansfield Beauty Schools-Quincy,NULL,NULL,NULL,NULL
University of Massachusetts-Amherst,15411,33477,0.575791452,1288
University of Massachusetts-Boston,13828,32985,0.751499001,1134
Massachusetts Bay Community College,5088,10032,NULL,NULL
MCPHS University,32590,32590,0.838581252,1169
Massachusetts College of Art and Design,12700,34400,0.706621961,NULL
Massachusetts Institute of Technology,49892,49892,0.071714328,1532
Massachusetts Maritime Academy,8398,25824,0.831742243,1122
University of Massachusetts Medical School Worcester,NULL,NULL,NULL,NULL
William James College,NULL,NULL,NULL,NULL
Massachusetts School of Barbering,NULL,NULL,NULL,NULL
Massasoit Community College,4680,9624,NULL,NULL
Merrimack College,40190,40190,0.81538817,NULL
MGH Institute of Health Professions,NULL,NULL,NULL,NULL
Middlesex Community College,4802,9746,NULL,NULL
Montserrat College of Art,32000,32000,NULL,NULL
Mount Holyoke College,47940,47940,0.508415554,1393
Mount Ida College,35720,35720,0.748834318,NULL
Mount Wachusett Community College,5428,10348,NULL,NULL
Rob Roy Academy-New Bedford,NULL,NULL,NULL,NULL
The New England Conservatory of Music,46930,46930,0.328125,NULL
New England College of Optometry,NULL,NULL,NULL,NULL
New England Law-Boston,NULL,NULL,NULL,NULL
New England School of Photography,24200,24200,0.737704918,NULL
Newbury College,34470,34470,0.754138781,NULL
Nichols College,34000,34000,0.925034706,NULL
Massachusetts College of Liberal Arts,10135,19080,0.766307139,1085
North Bennet Street School,NULL,NULL,NULL,NULL
North Shore Community College,4944,10512,NULL,NULL
Northeastern University,49497,49497,0.274419377,1482
Northern Essex Community College,4992,10776,NULL,NULL
College of Our Lady of the Elms,34578,34578,0.794930876,1033
Pine Manor College,30860,30860,0.511904762,NULL
Pope St John XXIII National Seminary,NULL,NULL,NULL,NULL
Quincy College,6306,6306,NULL,NULL
Quinsigamond Community College,5538,10482,NULL,NULL
Regis College,39820,39820,0.816295547,NULL
Roxbury Community College,4424,9728,NULL,NULL
Saint John's Seminary,NULL,NULL,NULL,NULL
Salem State University,10278,16706,0.819078416,1066
Salter College-West Boylston,NULL,NULL,NULL,NULL
Simmons University,39600,39600,0.604364054,1227
Bard College at Simon's Rock,53418,53418,0.66091954,NULL
Smith College,50044,50044,0.318667158,NULL
Southeastern Technical Institute,NULL,NULL,0.388157895,NULL
Springfield College,36535,36535,0.698938992,1148
Springfield Technical Community College,6066,12576,NULL,NULL
University of Massachusetts-Dartmouth,13571,28285,0.842693806,1097
Stonehill College,41300,41300,0.721246006,NULL
Suffolk University,37270,37270,0.835494628,1102
Rob Roy Academy-Taunton,NULL,NULL,NULL,NULL
Tufts University,54318,54318,0.149139851,1482
Wellesley College,51148,51148,0.220790681,1448
Wentworth Institute of Technology,34977,34977,0.918664938,1181
Western New England University,35740,35740,0.807072987,1096
Westfield State University,9715,15795,0.852545081,1064
Wheaton College,50850,50850,0.478896371,1270
Wheelock College,36350,36350,0.772557793,879
Williams College,53550,53550,0.145816362,1493
Worcester Polytechnic Institute,48628,48628,0.484851418,NULL
Worcester State University,9532,15612,0.763277288,NULL
Adrian College,36010,36010,0.597322142,1070
Albion College,43050,43050,0.705973223,1123
Hillsdale Beauty College,NULL,NULL,NULL,NULL
Northwestern Technological Institute,NULL,NULL,NULL,NULL
Alma College,38768,38768,0.64001692,1140
Alpena Community College,4410,6630,NULL,NULL
Andrews University,28436,28436,0.576576577,1203
Aquinas College,31244,31244,0.745066667,1143
Baker College,9360,9360,NULL,NULL
Bay de Noc Community College,4638,8958,NULL,NULL
Bayshire Academy of Beauty Craft Inc,NULL,NULL,NULL,NULL
Cadillac Institute of Cosmetology,NULL,NULL,NULL,NULL
Calvin College,33100,33100,0.834833903,1243
Calvin Theological Seminary,NULL,NULL,NULL,NULL
Carnegie Institute,13290,13290,NULL,NULL
Michigan School of Psychology,NULL,NULL,NULL,NULL
Central Michigan University,12510,23670,0.677514326,1125
Mott Community College,3996,6968,NULL,NULL
Empire Beauty School-Michigan,NULL,NULL,NULL,NULL
Cleary University,19700,19700,0.477443609,1017
Concordia University-Ann Arbor,28420,28420,0.575355273,1130
Cranbrook Academy of Art,NULL,NULL,NULL,NULL
College for Creative Studies,42460,42460,0.489911728,1149
Davenport University,17558,17558,0.819237148,NULL
David Pressley School of Cosmetology,NULL,NULL,NULL,NULL
Delta College,3800,10910,NULL,NULL
Detroit Business Institute-Downriver,NULL,NULL,NULL,NULL
Michigan State University-College of Law,NULL,NULL,NULL,NULL
MIAT College of Technology,15917,15917,0.986183074,NULL
University of Detroit Mercy,41158,41158,0.647058824,1163
Dorsey Business Schools-Madison Heights,20472,20472,NULL,NULL
Dorsey Business Schools-Southgate,20472,20472,NULL,NULL
Eastern Michigan University,12019,29200,0.447352102,1046
Creative Hair School of Cosmetology,NULL,NULL,NULL,NULL
Ferris State University,11628,18588,0.741587749,1069
Flint Institute of Barbering Inc,NULL,NULL,0.789473684,NULL
Glen Oaks Community College,3384,5712,NULL,NULL
Kettering University,42490,42490,0.703262558,1270
Gogebic Community College,4739,7188,NULL,NULL
Grace Christian University,11569,11569,0.64109589,NULL
Cornerstone University,27520,27520,0.673730362,1069
Grand Rapids Community College,3487,10081,NULL,NULL
Grand Valley State University,11994,17064,0.808988764,1150
Great Lakes Christian College,15550,15550,NULL,NULL
Henry Ford College,3014,6470,NULL,NULL
Hope College,32780,32780,0.736349098,1240
Jackson College,5984,10624,NULL,NULL
Kalamazoo College,46840,46840,0.73383809,1306
Kalamazoo Valley Community College,3381,7491,NULL,NULL
Kellogg Community College,3928,8480,NULL,NULL
Kirtland Community College,4020,8130,NULL,NULL
Michigan College of Beauty-Monroe,NULL,NULL,NULL,NULL
Lake Michigan College,4440,6105,NULL,NULL
Lake Superior State University,11427,11427,0.581616482,1148
Lansing Community College,3470,9650,NULL,NULL
Lawrence Technological University,32190,32190,0.596410492,1163
M J Murphy Beauty College of Mount Pleasant,NULL,NULL,NULL,NULL
Macomb Community College,3375,7649,NULL,NULL
Madonna University,20700,20700,0.743310208,1053
Marygrove College,22750,22750,0.409774436,1021
Rochester College,22312,22312,1,997
University of Michigan-Ann Arbor,14826,47476,0.265020205,1436
Michigan Barber School Inc,NULL,NULL,NULL,NULL
Michigan State University,14460,39406,0.715491243,1220
Michigan Technological University,15074,32318,0.744925946,1277
University of Michigan-Dearborn,12472,24706,0.642819752,1187
University of Michigan-Flint,10842,21165,0.651162791,1092
Mid Michigan College,4597,6847,NULL,NULL
Monroe County Community College,3890,7025,NULL,NULL
Montcalm Community College,4530,11280,NULL,NULL
Mr Bela's School of Cosmetology Inc,NULL,NULL,NULL,NULL
Muskegon Community College,5550,12310,NULL,NULL
Altierus Career Education-Southfield,NULL,NULL,NULL,NULL
North Central Michigan College,3952,7882,NULL,NULL
Northern Michigan University,10240,15736,0.743722663,1082
Northwestern Michigan College,4106,9425,NULL,NULL
Northwood University,26080,26080,0.69268829,1095
Oakland Community College,2360,4376,NULL,NULL
Oakland University,11970,23873,0.844114219,1141
Olivet College,26695,26695,0.700696056,NULL
Port Huron Cosmetology College,NULL,NULL,NULL,NULL
Kuyper College,21090,21090,0.661417323,1092
Ross Medical Education Center-Lansing,NULL,NULL,NULL,NULL
Ross Medical Education Center-Madison Heights,NULL,NULL,NULL,NULL
Ross Medical Education Center-Flint,NULL,NULL,NULL,NULL
Sacred Heart Major Seminary,19325,19325,0.875,NULL
Saginaw Valley State University,9819,23063,0.738423416,1101
Schoolcraft College,3668,6866,NULL,NULL
Siena Heights University,25932,25932,0.671247357,NULL
St Clair County Community College,4328,10931,NULL,NULL
Southwestern Michigan College,5025,6525,NULL,NULL
Specs Howard School of Media Arts,NULL,NULL,NULL,NULL
Spring Arbor University,27750,27750,0.670219065,1118
Michigan Career and Technical Institute,7160,10388,NULL,NULL
Finlandia University,22758,22758,0.356407323,966
Western Michigan University-Thomas M. Cooley Law School,NULL,NULL,NULL,NULL
Twin City Beauty College,NULL,NULL,NULL,NULL
Walsh College,NULL,NULL,NULL,NULL
Washtenaw Community College,2448,5304,NULL,NULL
Wayne County Community College District,2838,3842,NULL,NULL
Wayne State University,12729,27203,0.674059096,1134
West Shore Community College,2930,5810,NULL,NULL
Paul Mitchell the School-Grand Rapids,NULL,NULL,NULL,NULL
Western Michigan University,11943,14699,0.823178854,1103
Western Theological Seminary,NULL,NULL,NULL,NULL
Wright Beauty Academy,NULL,NULL,NULL,NULL
Academy College,17661,17661,NULL,NULL
Alexandria Technical & Community College,5410,5410,NULL,NULL
American Indian OIC Inc,NULL,NULL,NULL,NULL
Anoka Technical College,5584,5584,NULL,NULL
Anoka-Ramsey Community College,5059,5059,NULL,NULL
Augsburg University,37615,37615,0.645823825,1085
Riverland Community College,5570,5570,NULL,NULL
Northwest Technical College,5480,5480,NULL,NULL
Bemidji State University,8677,8677,0.662038185,1105
Bethany Lutheran College,26830,26830,0.791237113,1126
Bethel University,36210,36210,0.834988962,1181
Bethel Seminary-St Paul,NULL,NULL,0.834988962,1181
Central Lakes College-Brainerd,5494,5494,NULL,NULL
Carleton College,52782,52782,0.21203262,1469
Concordia College at Moorhead,38378,38378,0.615994712,1213
Concordia University-Saint Paul,21750,21750,0.548666667,NULL
Dakota County Technical College,5713,5713,NULL,NULL
Martin Luther College,14680,14680,0.706081081,1194
Lake Superior College,5153,9483,NULL,NULL
Cosmetology Careers Unlimited College of Hair Skin and Nails,NULL,NULL,NULL,NULL
Duluth Business University,18975,18975,NULL,NULL
Minnesota State Community and Technical College,5335,5335,NULL,NULL
Minnesota West Community and Technical College,5692,10838,NULL,NULL
Gustavus Adolphus College,44080,44080,0.678320232,NULL
Hamline University,40332,40332,0.691058824,1145
Hazelden Betty Ford Graduate School of Addiction Studies,NULL,NULL,NULL,NULL
Hennepin Technical College,5198,5198,NULL,NULL
Hibbing Community College,5310,6491,NULL,NULL
Aveda Institute-Minneapolis,NULL,NULL,NULL,NULL
Inver Hills Community College,5332,5332,NULL,NULL
Itasca Community College,5325,6507,NULL,NULL
Luther Seminary,NULL,NULL,NULL,NULL
Macalester College,52464,52464,0.405762712,1405
South Central College,5417,5417,NULL,NULL
Minnesota State University-Mankato,8164,16216,0.609632988,1105
Mayo Clinic College of Medicine and Science,NULL,NULL,NULL,NULL
Mayo Clinic School of Health Sciences,NULL,NULL,NULL,NULL
Argosy University-Twin Cities,13438,13438,NULL,NULL
Mesabi Range College,5329,6511,NULL,NULL
Metropolitan State University,7859,14960,0.555435953,NULL
University of Minnesota-Twin Cities,14417,26603,0.496416606,1344
University of Minnesota-Crookston,11814,11814,0.687000726,1082
Minneapolis Business College,15100,15100,NULL,NULL
Minneapolis College of Art and Design,37812,37812,0.585260116,1141
Minneapolis Community and Technical College,5396,5396,NULL,NULL
Herzing University-Minneapolis,13850,13850,0.79408284,NULL
Minnesota School of Cosmetology-Woodbury Campus,NULL,NULL,NULL,NULL
University of Minnesota-Duluth,13344,18462,0.766133671,1185
University of Minnesota-Morris,13072,15092,0.637807537,1219
Model College of Hair Design,NULL,NULL,NULL,NULL
Minnesota State University Moorhead,8468,15878,0.603863636,1123
North Hennepin Community College,4420,4420,NULL,NULL
National American University-Roseville,15000,15000,NULL,NULL
Normandale Community College,5790,5790,NULL,NULL
North Central University,23480,23480,0.907372401,1118
Northland Community and Technical College,5549,5549,NULL,NULL
University of Northwestern-St Paul,30794,30794,0.934047815,1174
Northwestern Health Sciences University,10684,10684,NULL,NULL
Oak Hills Christian College,17314,17314,0.265306122,NULL
Pine Technical & Community College,4066,7741,NULL,NULL
Rainy River Community College,5325,6507,NULL,NULL
Rochester Community and Technical College,5636,5636,NULL,NULL
College of Saint Benedict,43738,43738,0.805791313,1208
St Cloud Technical and Community College,5359,5359,NULL,NULL
Saint Cloud State University,8228,16462,0.85783623,1065
Saint Johns University,43356,43356,0.802318487,1187
Saint Mary's University of Minnesota,33560,33560,0.643773273,1122
St Olaf College,46000,46000,0.432173475,1312
Crown College,25430,25430,0.512027491,1066
The College of Saint Scholastica,36212,36212,0.68249413,1141
University of St Thomas,41133,41133,0.841590309,1267
Empire Beauty School-Bloomington,NULL,NULL,NULL,NULL
St Catherine University,38170,38170,0.701342282,1146
Rasmussen College-Minnesota,10935,10935,NULL,NULL
Saint Paul College,5560,5560,NULL,NULL
Southwest Minnesota State University,8610,8610,0.616284739,1065
Summit Academy Opportunities Industrialization Center,NULL,NULL,NULL,NULL
United Theological Seminary of the Twin Cities,NULL,NULL,NULL,NULL
Vermilion Community College,5325,6506,NULL,NULL
Dunwoody College of Technology,21610,21610,0.727482679,NULL
Ridgewater College,5759,5759,NULL,NULL
Minnesota State College Southeast,5630,5630,NULL,NULL
Winona State University,9379,15302,0.664970541,1125
Mitchell Hamline School of Law,NULL,NULL,NULL,NULL
Century College,5417,5417,NULL,NULL
Alcorn State University,6888,6888,0.78608545,1005
Belhaven University,24250,24250,0.591222031,NULL
Blue Mountain College,11760,11760,0.995169082,1047
Chris Beauty College,NULL,NULL,NULL,NULL
Coahoma Community College,2803,2803,NULL,NULL
Antonelli College-Jackson,15980,15980,NULL,NULL
Copiah-Lincoln Community College,3180,5180,NULL,NULL
Delta Beauty College,NULL,NULL,NULL,NULL
Delta State University,6859,6859,0.869169511,1047
East Central Community College,2790,4890,NULL,NULL
East Mississippi Community College,3240,6240,NULL,NULL
Fosters Cosmetology College,NULL,NULL,NULL,NULL
Academy of Hair Design-Grenada,NULL,NULL,NULL,NULL
Hinds Community College,3080,6120,NULL,NULL
Holmes Community College,3110,5690,NULL,NULL
Itawamba Community College,2840,5040,NULL,NULL
Jackson State University,7621,18314,0.717287488,990
Jones County Junior College,3480,4480,NULL,NULL
Meridian Community College,2964,4044,NULL,NULL
Millsaps College,38930,38930,0.489476146,1215
Mississippi Delta Community College,3030,4638,NULL,NULL
University of Mississippi,8300,23564,0.839113459,1225
Mississippi University for Women,6614,18155,0.980225989,1046
Mississippi Valley State University,6422,6422,0.862770563,930
Mississippi College,17392,17392,0.390335846,1229
Mississippi College of Beauty Culture,NULL,NULL,NULL,NULL
Mississippi Gulf Coast Community College,3670,6770,NULL,NULL
Mississippi State University,8318,22358,0.623989122,1195
Northeast Mississippi Community College,3232,5932,NULL,NULL
Northwest Mississippi Community College,3000,5400,NULL,NULL
Pearl River Community College,3500,5898,NULL,NULL
Rust College,9700,9700,0.432212782,NULL
Southeastern Baptist College,5165,5165,NULL,NULL
Southwest Mississippi Community College,3200,5900,NULL,NULL
University of Southern Mississippi,8218,10218,0.98430634,1125
Magnolia College of Cosmetology,NULL,NULL,NULL,NULL
Tougaloo College,10600,10600,0.747193534,1025
Wesley Biblical Seminary,NULL,NULL,NULL,NULL
William Carey University,12300,12300,0.488215488,1179
Aquinas Institute of Theology,NULL,NULL,NULL,NULL
Avila University,28020,28020,0.388607595,1060
Baptist Bible College,13850,13850,NULL,NULL
House of Heavilin Beauty College-Blue Springs,NULL,NULL,NULL,NULL
Cox College,11410,11410,1,NULL
